"","k","Calinski_Harabasz","method"
"1",2,631.620697258519,"kmeans"
"2",3,553.14662123548,"kmeans"
"3",4,485.918598770192,"kmeans"
"4",5,636.838450124385,"kmeans"
"5",6,584.140122717899,"kmeans"
"6",7,538.804906114304,"kmeans"
"7",8,501.984977146169,"kmeans"
"8",2,643.445490875598,"AGNES"
"9",3,324.147842684003,"AGNES"
"10",4,218.481766485988,"AGNES"
"11",5,165.044323249089,"AGNES"
"12",6,133.122127085886,"AGNES"
"13",7,111.823715882848,"AGNES"
"14",8,96.3063174413502,"AGNES"
"15",2,482.566258124665,"PAM"
"16",3,485.527857699092,"PAM"
"17",4,407.177501717741,"PAM"
"18",5,376.113074298792,"PAM"
"19",6,523.590450402183,"PAM"
"20",7,451.62232714848,"PAM"
"21",8,425.185261907681,"PAM"
"22",2,643.445490875598,"DIANA"
"23",3,705.933919745598,"DIANA"
"24",4,621.145913927025,"DIANA"
"25",5,491.826810076687,"DIANA"
"26",6,407.73144395205,"DIANA"
"27",7,404.634345543157,"DIANA"
"28",8,376.15860663446,"DIANA"
