"","k","DBI","method"
"1",2,2.73564957128828,"kmeans"
"2",3,2.66942178819606,"kmeans"
"3",4,2.51918632727359,"kmeans"
"4",5,1.84804977072919,"kmeans"
"5",6,1.84872468718078,"kmeans"
"6",7,1.96890930519925,"kmeans"
"7",8,2.11381511160722,"kmeans"
"8",2,0.347313842534328,"AGNES"
"9",3,0.433168520178753,"AGNES"
"10",4,0.423212707751638,"AGNES"
"11",5,0.436232289463564,"AGNES"
"12",6,0.438535975070726,"AGNES"
"13",7,0.440781957527148,"AGNES"
"14",8,0.471168855392708,"AGNES"
"15",2,2.95697155384849,"PAM"
"16",3,2.75958409503527,"PAM"
"17",4,2.76874124778163,"PAM"
"18",5,2.71217307327347,"PAM"
"19",6,2.1775072689137,"PAM"
"20",7,2.37517006675049,"PAM"
"21",8,2.51218013413081,"PAM"
"22",2,0.347313842534328,"DIANA"
"23",3,1.91545024892466,"DIANA"
"24",4,1.92595127520081,"DIANA"
"25",5,2.04445425028404,"DIANA"
"26",6,2.06643786718833,"DIANA"
"27",7,2.17181552724252,"DIANA"
"28",8,2.20261705686718,"DIANA"
