"","Dimension","STRESS"
"1",1,185879.083071602
"2",2,109739.843528771
"3",3,69490.1675753359
"4",4,42396.5663190872
"5",5,27297.1530688203
"6",6,18010.1568928956
"7",7,12876.0068994842
"8",8,9385.44909763987
"9",9,7954.63430400739
"10",10,7462.86107723085
"11",11,7888.11378001366
"12",12,8728.64705288528
"13",13,10120.3745026505
"14",14,11706.6474919514
"15",15,13083.4256475702
"16",16,14718.3472405965
"17",17,16266.1950584283
"18",18,18032.8484081857
"19",19,19478.080887972
"20",20,20994.3525033198
"21",21,22505.0634196059
"22",22,23928.123836022
"23",23,25391.1524004586
"24",24,26828.0741207233
"25",25,28150.6121134913
"26",26,29497.4456141487
"27",27,30742.5138573678
"28",28,31998.1224623695
"29",29,33199.3374816524
"30",30,34419.4026550261
"31",31,35607.6990359864
"32",32,36786.1868438151
"33",33,37932.3865610536
"34",34,38990.2177989527
"35",35,40025.3211293777
"36",36,40943.4752295545
"37",37,41791.6456075063
"38",38,42588.0394611355
"39",39,43325.0492092171
"40",40,44061.5153092974
"41",41,44749.1092380828
"42",42,45349.4512734854
"43",43,45953.274349237
"44",44,46520.9084110353
"45",45,47092.4197309456
"46",46,47619.7989111467
"47",47,48092.282771744
"48",48,48556.7568626053
"49",49,48939.3117910275
"50",50,49314.9691510573
"51",51,49642.5143270834
"52",52,49970.3199965675
"53",53,50285.6697345983
"54",54,50545.2726122687
"55",55,50791.7302237996
"56",56,50995.2524730136
"57",57,51203.1762761255
"58",58,51391.1869962648
"59",59,51554.4557037081
"60",60,51701.962284618
