,age,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,income_binary,capital,continent
217,59,State-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,0,0,North America
24912,41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,0,0,East Asia & Pacific
17780,29,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,35,0,0,North America
12484,41,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,45,0,0,North America
8890,41,Private,5th-6th,Married-civ-spouse,Farming-fishing,Wife,White,Female,40,0,0,Latin America & Caribbean
15824,45,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,0,0,North America
29931,34,Private,12th,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,35,0,0,Latin America & Caribbean
21871,52,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,40,0,0,North America
8511,47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1,0,North America
15782,30,Private,11th,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Female,40,0,0,North America
27916,37,Private,HS-grad,Separated,Tech-support,Unmarried,White,Female,40,0,0,North America
2129,26,Private,Bachelors,Married-civ-spouse,Sales,Wife,White,Female,40,1,0,North America
23024,57,Private,7th-8th,Widowed,Other-service,Not-in-family,White,Female,10,0,0,North America
7978,23,State-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,38,0,0,North America
4783,24,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,0,0,North America
14667,29,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,0,0,North America
17318,73,Local-gov,5th-6th,Married-civ-spouse,Prof-specialty,Husband,White,Male,6,0,0,North America
6504,38,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Black,Male,40,0,0,North America
8157,31,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,1,0,North America
29660,18,Private,11th,Never-married,Adm-clerical,Own-child,White,Female,5,0,0,North America
19449,32,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,50,0,0,North America
4120,41,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,70,0,5013,North America
6887,54,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,35,0,0,North America
23426,40,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,50,1,0,North America
5456,20,Private,9th,Never-married,Sales,Own-child,White,Female,40,0,0,North America
25663,17,Private,10th,Never-married,Other-service,Own-child,White,Male,20,0,0,North America
5742,23,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,37,0,0,Latin America & Caribbean
16710,44,Self-emp-not-inc,Assoc-voc,Widowed,Prof-specialty,Unmarried,White,Female,40,0,0,North America
12137,51,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,40,1,0,North America
19752,19,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,10,0,0,North America
2943,31,Private,7th-8th,Never-married,Craft-repair,Unmarried,White,Male,40,0,0,North America
16408,36,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0,0,North America
1339,46,Private,10th,Never-married,Machine-op-inspct,Not-in-family,Black,Male,40,0,0,North America
18137,19,Private,HS-grad,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Female,25,0,0,North America
10861,36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,0,0,South Asia
24258,44,Private,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,45,1,10520,North America
4720,28,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,60,0,-1628,North America
27755,37,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1,0,North America
16592,58,Private,HS-grad,Widowed,Craft-repair,Unmarried,White,Male,52,1,8614,Latin America & Caribbean
28514,25,Self-emp-inc,Assoc-voc,Never-married,Transport-moving,Unmarried,White,Male,55,0,0,North America
5501,35,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,35,0,0,North America
1441,43,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,0,North America
9975,43,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,0,0,North America
28425,57,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,45,0,0,North America
22026,51,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,48,1,3103,North America
621,17,Private,12th,Never-married,Other-service,Own-child,White,Male,16,0,0,North America
29448,52,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,40,1,0,North America
1616,42,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,1,0,North America
210,75,Private,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Female,20,0,0,South Asia
14421,61,State-gov,11th,Widowed,Other-service,Unmarried,White,Female,32,1,0,North America
21619,31,Federal-gov,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Female,40,0,0,North America
6422,31,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,0,0,North America
23402,50,Private,HS-grad,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Female,40,0,0,North America
4751,41,Local-gov,HS-grad,Divorced,Transport-moving,Not-in-family,Black,Female,38,0,0,North America
3263,23,Private,Assoc-voc,Never-married,Sales,Unmarried,White,Female,60,0,0,North America
423,23,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,60,0,0,North America
11751,25,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,0,0,North America
29245,36,Private,Bachelors,Widowed,Prof-specialty,Unmarried,White,Female,44,0,0,North America
29942,31,State-gov,Some-college,Never-married,Other-service,Own-child,White,Female,37,0,0,North America
6151,33,Private,Assoc-voc,Divorced,Sales,Not-in-family,White,Male,40,0,0,North America
18898,55,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1,0,North America
23512,29,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Female,45,0,0,North America
13307,23,Private,Some-college,Never-married,Other-service,Own-child,White,Male,20,0,0,North America
23691,59,Self-emp-not-inc,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,15,0,2580,Latin America & Caribbean
15503,41,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,70,1,99999,North America
12939,38,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,0,0,North America
7467,34,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Female,45,0,0,North America
3662,35,Private,HS-grad,Separated,Exec-managerial,Not-in-family,White,Female,36,0,0,North America
9994,37,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,1,7688,North America
24868,62,Local-gov,Assoc-voc,Divorced,Adm-clerical,Not-in-family,Black,Female,40,0,0,North America
10843,27,Local-gov,Assoc-acdm,Never-married,Adm-clerical,Unmarried,Black,Female,40,0,0,North America
22230,41,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,0,0,North America
11326,36,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,Black,Female,40,0,0,North America
13150,55,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,0,0,North America
26087,40,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,0,0,North America
6934,50,Private,Assoc-acdm,Divorced,Craft-repair,Not-in-family,White,Male,40,0,0,North America
19890,58,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,0,0,North America
6204,36,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,35,0,0,North America
21561,66,Self-emp-not-inc,Doctorate,Married-civ-spouse,Sales,Husband,White,Male,25,1,-2377,North America
11876,36,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,35,0,0,North America
1503,54,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,1,5178,North America
15241,58,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,42,0,0,North America
27938,54,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1,0,North America
11568,22,Private,9th,Married-spouse-absent,Other-service,Other-relative,White,Male,35,0,0,Latin America & Caribbean
11400,59,Self-emp-not-inc,7th-8th,Married-civ-spouse,Sales,Husband,White,Male,85,0,0,North America
27997,30,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,30,0,0,North America
26632,22,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,40,0,0,North America
28885,31,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,0,0,Europe & Central Asia
23838,32,Private,Bachelors,Divorced,Craft-repair,Not-in-family,White,Male,50,1,0,North America
896,44,Private,HS-grad,Never-married,Transport-moving,Unmarried,White,Male,70,0,0,North America
12293,18,Private,5th-6th,Never-married,Other-service,Other-relative,White,Male,54,0,0,Latin America & Caribbean
29393,30,Private,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,40,0,0,North America
8451,20,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,Female,30,0,-1721,North America
21254,39,Private,Some-college,Divorced,Prof-specialty,Not-in-family,White,Female,45,1,0,North America
29656,61,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,20,0,-2051,North America
11238,37,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,35,0,0,North America
10007,47,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Female,40,0,0,North America
5006,53,Private,10th,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Female,40,0,0,South Asia
2973,41,Private,Some-college,Separated,Other-service,Not-in-family,Black,Male,40,0,0,North America
18391,26,Private,Some-college,Separated,Sales,Unmarried,White,Female,35,0,0,North America
29522,44,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,0,North America
18448,32,Private,Some-college,Never-married,Exec-managerial,Other-relative,White,Male,40,0,0,North America
18102,26,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,40,0,0,North America
28293,38,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,0,North America
28008,28,Private,12th,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,0,0,North America
25238,23,Private,Assoc-acdm,Never-married,Sales,Own-child,White,Male,20,0,0,North America
18805,19,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,30,0,0,North America
15756,47,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,0,0,North America
16332,41,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,50,0,0,North America
14128,53,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,50,0,0,North America
12868,34,Private,Assoc-acdm,Never-married,Craft-repair,Own-child,Black,Female,40,0,0,North America
11299,34,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,0,North America
26269,45,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,50,1,0,North America
6826,24,Self-emp-inc,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,50,1,13550,North America
23771,39,Private,Some-college,Separated,Prof-specialty,Unmarried,White,Female,40,0,0,North America
16074,23,Private,HS-grad,Never-married,Adm-clerical,Own-child,Black,Female,40,0,0,North America
25161,39,Local-gov,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,1,0,North America
18692,25,Private,1st-4th,Never-married,Other-service,Other-relative,White,Male,25,0,0,Latin America & Caribbean
20113,23,Private,Bachelors,Never-married,Machine-op-inspct,Own-child,White,Male,50,0,0,North America
23520,49,Local-gov,Masters,Separated,Prof-specialty,Unmarried,White,Female,70,0,0,North America
430,52,Private,HS-grad,Divorced,Transport-moving,Unmarried,White,Male,40,0,0,North America
18809,41,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,1,-1977,North America
16135,35,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0,0,North America
25630,42,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,40,0,0,North America
5382,33,Private,11th,Separated,Sales,Own-child,White,Female,20,0,0,North America
25720,29,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,45,0,0,North America
13634,43,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1,0,North America
16047,39,Federal-gov,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,0,0,North America
13103,37,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,0,North America
22229,33,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,45,1,0,North America
12292,53,Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,White,Male,40,0,6849,North America
15132,63,Private,Some-college,Widowed,Sales,Not-in-family,White,Female,20,0,0,North America
18403,77,Self-emp-inc,Doctorate,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,1,20051,North America
21351,23,Private,10th,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,0,0,North America
8867,41,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,0,3942,North America
3282,17,Private,11th,Never-married,Other-service,Own-child,White,Female,20,0,0,North America
26521,46,Local-gov,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,0,0,North America
26207,21,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,40,0,0,North America
14410,45,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,40,1,0,North America
8739,32,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,38,0,0,North America
21629,46,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,48,1,0,North America
7346,31,Private,12th,Never-married,Sales,Not-in-family,White,Male,50,0,4650,North America
18618,20,Private,Some-college,Never-married,Sales,Own-child,White,Male,25,0,0,North America
24447,29,Federal-gov,Some-college,Married-spouse-absent,Adm-clerical,Own-child,White,Female,40,0,0,North America
3806,21,Private,Some-college,Never-married,Other-service,Own-child,White,Male,35,0,0,North America
27757,17,Private,10th,Never-married,Other-service,Own-child,White,Female,15,0,0,North America
16719,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,1,0,North America
23337,29,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,40,0,0,North America
27439,60,Private,7th-8th,Separated,Priv-house-serv,Unmarried,Black,Female,15,0,0,North America
21080,37,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,0,2105,North America
29511,35,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,50,0,0,North America
18634,32,Private,12th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0,0,North America
20928,61,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,1,0,North America
821,42,Self-emp-not-inc,Prof-school,Married-civ-spouse,Farming-fishing,Husband,White,Male,65,1,0,North America
9405,43,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,70,1,0,North America
3710,50,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,40,0,0,North America
21132,24,Private,Some-college,Never-married,Other-service,Unmarried,Black,Female,35,0,0,North America
3402,43,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,0,North America
8047,29,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,40,0,0,North America
24344,41,Private,Masters,Widowed,Prof-specialty,Not-in-family,White,Female,55,0,4650,North America
20989,59,Private,9th,Married-civ-spouse,Other-service,Husband,White,Male,40,0,0,North America
23674,58,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,-1740,North America
27637,36,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,32,1,0,North America
2229,34,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,44,1,0,North America
11029,26,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,52,1,0,North America
15633,20,Private,Some-college,Never-married,Other-service,Own-child,White,Female,15,0,0,North America
16219,22,Private,Some-college,Never-married,Sales,Own-child,White,Female,16,0,0,North America
