,age,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,income_binary,capital,continent
2292,18,Private,11th,Never-married,Craft-repair,Own-child,White,Male,20,0,0,North America
9523,30,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,44,0,0,North America
1363,31,Private,10th,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,0,2105,Latin America & Caribbean
4357,54,Private,Bachelors,Divorced,Sales,Not-in-family,Black,Female,60,0,0,North America
21644,24,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,0,0,North America
18504,56,Private,11th,Separated,Other-service,Not-in-family,Black,Female,40,0,0,North America
18908,26,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,48,0,0,North America
680,55,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,72,0,0,North America
13050,23,Private,HS-grad,Never-married,Craft-repair,Unmarried,White,Male,40,0,0,North America
26844,34,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,40,0,0,North America
3664,54,State-gov,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,38,0,0,North America
18045,63,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,40,0,0,North America
508,35,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,40,0,0,North America
166,44,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,1,0,North America
13689,30,Private,5th-6th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,0,Latin America & Caribbean
30105,57,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0,0,North America
29302,54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,1,0,North America
23749,46,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1,3103,North America
1914,47,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,0,0,North America
7263,32,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,50,0,0,North America
29620,50,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,35,0,0,North America
29785,34,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,44,0,0,North America
23745,44,Private,HS-grad,Divorced,Tech-support,Not-in-family,White,Male,50,1,0,North America
10728,47,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,50,1,0,North America
1104,37,Private,Bachelors,Divorced,Craft-repair,Not-in-family,White,Male,35,0,0,North America
12067,45,Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,40,0,0,North America
2610,41,Local-gov,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,40,1,-1485,North America
9944,26,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Other,Male,40,0,0,North America
