"","Clusters","Silhouette","ClusteringMethod"
"1",2,0.0636185561886869,"K-means"
"2",2,0.0674725104658288,"AGNES"
"3",2,0.0617926804578786,"PAM"
"4",2,0.0439696449293834,"DIANA"
"5",3,0.0759914720508391,"K-means"
"6",3,0.0645002949828612,"AGNES"
"7",3,0.0491837373107055,"PAM"
"8",3,0.0687506215279621,"DIANA"
"9",4,0.0981415025026889,"K-means"
"10",4,0.810911793795843,"AGNES"
"11",4,0.81128848811574,"PAM"
"12",4,0.686313504382979,"DIANA"
"13",5,0.673512590514989,"K-means"
"14",5,0.616169360680446,"AGNES"
"15",5,0.499481297703358,"PAM"
"16",5,0.4991871272717,"DIANA"
"17",6,0.498633931409776,"K-means"
"18",6,0.476521311071304,"AGNES"
"19",6,0.0467426413783737,"PAM"
"20",6,0.0537223579309041,"DIANA"
"21",7,0.0563433048656788,"K-means"
"22",7,-0.00399455803784548,"AGNES"
"23",7,0.00819386228061661,"PAM"
"24",7,0.0224224619875625,"DIANA"
"25",8,0.0282567369216126,"K-means"
"26",8,0.0401799520978979,"AGNES"
"27",8,0.051470820749705,"PAM"
"28",8,NA,"DIANA"
"29",9,NA,"K-means"
"30",9,NA,"AGNES"
"31",9,NA,"PAM"
"32",9,NA,"DIANA"
"33",10,NA,"K-means"
"34",10,NA,"AGNES"
"35",10,NA,"PAM"
"36",10,NA,"DIANA"
