"","Clusters","Silhouette","ClusteringMethod"
"1",2,0.213499830302755,"K-means"
"2",2,0.236544055005521,"AGNES"
"3",2,0.184035135322356,"PAM"
"4",2,0.1787917911598,"DIANA"
"5",3,0.212360403519535,"K-means"
"6",3,0.183588442318957,"AGNES"
"7",3,0.197229734680571,"PAM"
"8",3,0.188332197286083,"DIANA"
"9",4,0.212804665600569,"K-means"
"10",4,0.350730278174648,"AGNES"
"11",4,0.328411540544093,"PAM"
"12",4,0.309999667542886,"DIANA"
"13",5,0.287072264828314,"K-means"
"14",5,0.263656697393509,"AGNES"
"15",5,0.252048951497906,"PAM"
"16",5,0.247096343074709,"DIANA"
"17",6,0.2356070088491,"K-means"
"18",6,0.230350014952186,"AGNES"
"19",6,0.210645965473887,"PAM"
"20",6,0.216014153788265,"DIANA"
"21",7,0.164779101335123,"K-means"
"22",7,0.172565426988551,"AGNES"
"23",7,0.171876928193024,"PAM"
"24",7,0.176110445583785,"DIANA"
"25",8,0.1736116736798,"K-means"
"26",8,0.173123131294948,"AGNES"
"27",8,0.187562968863142,"PAM"
"28",8,0.243557740887593,"DIANA"
"29",9,0.15777219295945,"K-means"
"30",9,0.149444177254517,"AGNES"
"31",9,0.144414261197667,"PAM"
"32",9,0.178822180015561,"DIANA"
"33",10,0.186945554835682,"K-means"
"34",10,0.178806197508471,"AGNES"
"35",10,0.189635865548058,"PAM"
"36",10,0.189112198420639,"DIANA"
